,species,stage,PC1,PC2,PC3,D,WD,HD,UD,size,stage_ma,order,family,color
5010,Meekoceras gracilitatis,Olenekian,0.02774246,0.234919987,0.003978097,69.1,0.23154848,0.522431259,0.136034732,19099.24,249.2,Ceratitida,Prionitidae,#B051A5
5012,Meekoceras gracilitatis,Olenekian,0.048976097,0.264417291,-0.012888775,88.6,0.223476298,0.527088036,0.097065463,38857.302,249.2,Ceratitida,Prionitidae,#B051A5
5013,Meekoceras gracilitatis,Olenekian,-0.004001383,0.191130771,-0.010314809,72.8,0.243131868,0.482142857,0.173076923,23451.792,249.2,Ceratitida,Prionitidae,#B051A5
5014,Meekoceras gracilitatis,Olenekian,0.010371536,0.223477785,-0.012415464,83.6,0.2284689,0.497607656,0.144736842,33372.284,249.2,Ceratitida,Prionitidae,#B051A5
5017,Meekoceras gracilitatis,Olenekian,0.043444305,0.272818652,0.011121344,81.9,0.213675214,0.548229548,0.108669109,29345.79375,249.2,Ceratitida,Prionitidae,#B051A5
5020,Meekoceras gracilitatis,Olenekian,-0.017325851,0.215633455,-0.008640002,88.9,0.215973003,0.487064117,0.168728909,37935.408,249.2,Ceratitida,Prionitidae,#B051A5
5023,Meekoceras gracilitatis,Olenekian,0.04086064,0.26889282,-0.008091311,88,0.214772727,0.529545455,0.102272727,36590.4,249.2,Ceratitida,Prionitidae,#B051A5
5024,Meekoceras gracilitatis,Olenekian,0.003670405,0.249161534,-0.005463881,94.7,0.204857445,0.510031679,0.138331573,43495.2365,249.2,Ceratitida,Prionitidae,#B051A5
5026,Meekoceras gracilitatis,Olenekian,0.013527065,0.23696123,-0.002479668,66.2,0.220543807,0.512084592,0.140483384,15995.906,249.2,Ceratitida,Prionitidae,#B051A5
5027,Meekoceras gracilitatis,Olenekian,0.045802308,0.237454411,0.003893617,65.8,0.241641337,0.530395137,0.123100304,17210.319,249.2,Ceratitida,Prionitidae,#B051A5
5030,Meekoceras gracilitatis,Olenekian,0.028141211,0.270825123,-0.004637753,69.3,0.204906205,0.528138528,0.111111111,17048.8395,249.2,Ceratitida,Prionitidae,#B051A5
5032,Meekoceras gracilitatis,Olenekian,-0.055901743,0.168179012,-0.021371442,93.9,0.225772098,0.444089457,0.212992545,46731.213,249.2,Ceratitida,Prionitidae,#B051A5
5037,Meekoceras gracilitatis,Olenekian,0.091061337,0.253911846,0.016557968,37,0.259459459,0.564864865,0.091891892,3285.6,249.2,Ceratitida,Prionitidae,#B051A5
5040,Meekoceras gracilitatis,Olenekian,-0.012309216,0.240633617,-0.028820103,83.8,0.200477327,0.480906921,0.140811456,29494.248,249.2,Ceratitida,Prionitidae,#B051A5
5041,Meekoceras gracilitatis,Olenekian,0.049931282,0.275575345,-0.003303173,55.6,0.215827338,0.539568345,0.095323741,9274.08,249.2,Ceratitida,Prionitidae,#B051A5
5042,Meekoceras gracilitatis,Olenekian,0.038611269,0.234069628,-0.012354904,79.4,0.23929471,0.512594458,0.120906801,29945.71,249.2,Ceratitida,Prionitidae,#B051A5
5044,Meekoceras gracilitatis,Olenekian,0.052054444,0.270693867,-0.003903348,49.8,0.220883534,0.53815261,0.096385542,6820.11,249.2,Ceratitida,Prionitidae,#B051A5
5046,Meekoceras gracilitatis,Olenekian,0.043861844,0.257474162,-0.003902304,67.9,0.22533137,0.530191458,0.1089838,17634.81825,249.2,Ceratitida,Prionitidae,#B051A5
5047,Anaflemingites russelli,Olenekian,-0.198030435,0.127546034,-0.005528593,150.7,0.161911082,0.386861314,0.334439283,138533.989,249.2,Ceratitida,Flemingitidae,#B051A5
5048,Anaflemingites silberlingi,Olenekian,-0.140726417,0.131834639,0.001148978,99.6,0.196787149,0.416666667,0.299196787,48608.784,249.2,Ceratitida,Flemingitidae,#B051A5
5049,Anaflemingites silberlingi,Olenekian,-0.176609538,0.094250115,0.004986511,91,0.201098901,0.392307692,0.345054945,37885.575,249.2,Ceratitida,Flemingitidae,#B051A5
5050,Anaflemingites silberlingi,Olenekian,-0.13059949,0.079134138,0.021978954,72,0.243055556,0.419444444,0.333333333,22680,249.2,Ceratitida,Flemingitidae,#B051A5
5054,Guodunites monneti,Olenekian,-0.127225916,0.158136164,-0.015062069,98.4,0.18597561,0.417682927,0.267276423,44297.712,249.2,Ceratitida,Proptychitidae,#B051A5
5056,Anaflemingites silberlingi,Olenekian,-0.132841945,0.115496373,0.008314669,70,0.214285714,0.42,0.307142857,18375,249.2,Ceratitida,Flemingitidae,#B051A5
5057,Anaflemingites silberlingi,Olenekian,-0.159824577,0.104174723,0.00318883,104,0.204807692,0.400961538,0.327884615,57595.2,249.2,Ceratitida,Flemingitidae,#B051A5
5058,Anaflemingites silberlingi,Olenekian,-0.148059259,0.13277603,0.003134827,114,0.19122807,0.415789474,0.304385965,70828.2,249.2,Ceratitida,Flemingitidae,#B051A5
5059,Anaflemingites silberlingi,Olenekian,-0.088633106,0.135784708,0.025605311,45.5,0.228571429,0.459340659,0.276923077,5382.65,249.2,Ceratitida,Flemingitidae,#B051A5
5061,Anaflemingites silberlingi,Olenekian,-0.116277986,0.137036194,0.014573593,52.1,0.209213052,0.439539347,0.287907869,7396.76725,249.2,Ceratitida,Flemingitidae,#B051A5
5062,Anaflemingites silberlingi,Olenekian,-0.062293584,0.163985769,0.009482645,54.7,0.224862888,0.466179159,0.23583181,9200.67675,249.2,Ceratitida,Flemingitidae,#B051A5
5063,Anaflemingites silberlingi,Olenekian,-0.155780818,0.107424753,0.006803881,59,0.205084746,0.406779661,0.325423729,10530.025,249.2,Ceratitida,Flemingitidae,#B051A5
5065,Anaflemingites silberlingi,Olenekian,-0.118517851,0.155186207,0.004036928,54.1,0.194085028,0.436229205,0.273567468,7682.87625,249.2,Ceratitida,Flemingitidae,#B051A5
5066,Anaflemingites silberlingi,Olenekian,-0.090888682,0.132200097,0.018053781,57.9,0.22970639,0.450777202,0.276338515,11146.76325,249.2,Ceratitida,Flemingitidae,#B051A5
5068,Anaflemingites russelli,Olenekian,-0.122358982,0.144346356,0.00575688,57.6,0.199652778,0.432291667,0.282986111,9538.56,249.2,Ceratitida,Flemingitidae,#B051A5
5069,Pseudosageceras augustum,Olenekian,0.115503489,0.378858469,0.004406866,78.5,0.182165605,0.608917197,1.27E-05,22030.04375,249.2,Ceratitida,Hedenstroemiidae,#B051A5
5070,Hemiprionites roberti,Olenekian,0.083299289,0.206456906,0.045615013,56.9,0.289982425,0.569420035,0.13884007,13355.14125,249.2,Ceratitida,Prionitidae,#B051A5
5071,Churkites noblei,Olenekian,-0.145337558,0.088701841,0.004761056,323,0.226006192,0.40247678,0.328173375,1904004.25,249.2,Ceratitida,Arctoceratidae,#B051A5
5072,Meekoceras gracilitatis,Olenekian,0.003205039,0.236131071,0.008446972,73.7,0.214382632,0.516960651,0.153324288,21455.1755,249.2,Ceratitida,Prionitidae,#B051A5
5073,Meekoceras gracilitatis,Olenekian,0.038414021,0.240977211,0.014404687,83.7,0.234169654,0.537634409,0.131421744,34327.881,249.2,Ceratitida,Prionitidae,#B051A5
5074,Guodunites monneti,Olenekian,-0.10922005,0.183488858,0.004010929,110,0.179090909,0.45,0.251818182,59592.5,249.2,Ceratitida,Proptychitidae,#B051A5
5075,Pseudosageceras augustum,Olenekian,0.1230842,0.375501937,0.009931346,58.5,0.18974359,0.615384615,1.71E-05,9496.74375,249.2,Ceratitida,Hedenstroemiidae,#B051A5
5076,Meekoceras gracilitatis,Olenekian,0.01025015,0.208469644,-0.007820733,89.3,0.239641657,0.496080627,0.155655095,42663.5215,249.2,Ceratitida,Prionitidae,#B051A5
5077,Meekoceras gracilitatis,Olenekian,0.018457339,0.219425922,0.000215512,74.7,0.236947791,0.510040161,0.148594378,24691.89825,249.2,Ceratitida,Prionitidae,#B051A5
5078,Pseudaspidites silberlingi,Olenekian,0.023048514,0.226986836,0.026381555,104.9,0.234509056,0.536701621,0.155386082,67674.6615,249.2,Ceratitida,Proptychitidae,#B051A5
5079,Galfettites lucasi,Olenekian,-0.142512107,0.188815431,0.012465091,98,0.153061224,0.445918367,0.274489796,36015,249.2,Ceratitida,Galfettitidae,#B051A5
5080,Hellenites idahoense,Olenekian,-0.168825376,-0.081396306,0.011015906,38.5,0.337662338,0.337662338,0.441558442,4817.3125,249.2,Ceratitida,Columbitidae,#B051A5
5081,Pseudokossmaticeras brandti,Campanian,-0.162669019,-0.100493958,0.015575744,132,0.356060606,0.337121212,0.450757576,204732,77.85,Ammonitida,Kossmaticeratidae,#E6F47F
5088,Jeanbesseiceras jacksoni,Olenekian,-0.169356569,0.040007846,-0.010907929,69,0.246376812,0.362318841,0.362318841,20234.25,249.2,Ceratitida,,#B051A5
5089,Bajarunia pilata,Olenekian,-0.139651417,0.106781373,-0.002071031,74,0.216216216,0.405405405,0.310810811,21904,249.2,Ceratitida,Meekoceratidae,#B051A5
5097,Sverdrupites harkeri,Roadian,0.160276145,-0.054614288,0.00282661,31.9,0.536050157,0.470219436,0.213166144,4350.28275,270.55,Goniatitida,Spirolegoceratidae,#FB8069
5098,Sverdrupites harkeri,Roadian,0.172336736,-0.034231248,0.023775657,38,0.528947368,0.5,0.205263158,7256.1,270.55,Goniatitida,Spirolegoceratidae,#FB8069
5100,Biarmiceras esaulovae,Roadian,0.197977805,0.101492074,0.020103131,18,0.444444444,0.555555556,0.111111111,648,270.55,Goniatitida,Mongoloceratidae,#FB8069
5101,Biarmiceras esaulovae,Roadian,0.169112225,0.115048522,-0.018950812,18.8,0.414893617,0.515957447,0.10106383,689.208,270.55,Goniatitida,Mongoloceratidae,#FB8069
5102,Biarmiceras barskovi,Roadian,0.144262242,0.135602191,-0.000947879,26.1,0.383141762,0.528735632,0.114942529,1703.025,270.55,Goniatitida,Mongoloceratidae,#FB8069
5103,Biarmiceras esaulovae,Roadian,0.175946099,0.097603114,0.020087378,27.5,0.432727273,0.545454545,0.127272727,2249.84375,270.55,Goniatitida,Mongoloceratidae,#FB8069
5104,Biarmiceras kremeshkense,Roadian,0.095576874,0.216438228,-0.00823942,31,0.290322581,0.532258065,0.096774194,2162.25,270.55,Goniatitida,Mongoloceratidae,#FB8069
5105,Biarmiceras esaulovae,Roadian,0.150166618,0.118193999,-0.013418841,17.5,0.4,0.514285714,0.114285714,535.9375,270.55,Goniatitida,Mongoloceratidae,#FB8069
5106,Sverdrupites harkeri,Roadian,0.124037279,0.035641871,-0.00510613,81,0.444444444,0.481481481,0.181481481,59049,270.55,Goniatitida,Spirolegoceratidae,#FB8069
5107,Sverdrupites amundseni,Roadian,0.19916014,-0.098454517,0.094671229,42,0.595238095,0.547619048,0.261904762,11025,270.55,Goniatitida,Spirolegoceratidae,#FB8069
5108,Sverdrupites harkeri,Roadian,0.139120437,-0.093931094,0.012368779,27.2,0.551470588,0.455882353,0.253676471,2774.4,270.55,Goniatitida,Spirolegoceratidae,#FB8069
5109,Sverdrupites harkeri,Roadian,0.17065397,-0.071033971,0.007472954,36.2,0.555248619,0.472375691,0.218232044,6584.961,270.55,Goniatitida,Spirolegoceratidae,#FB8069
5110,Sverdrupites harkeri,Roadian,0.1516861,-0.193769411,-0.01733002,17.5,0.634285714,0.4,0.285714286,849.84375,270.55,Goniatitida,Spirolegoceratidae,#FB8069
5111,Biarmiceras barskovi,Roadian,0.101054833,0.144145938,-0.038908542,23,0.347826087,0.482608696,0.117391304,1058,270.55,Goniatitida,Mongoloceratidae,#FB8069
5112,Sverdrupites harkeri,Roadian,0.148808462,-0.07509497,-0.007251664,30.9,0.54368932,0.449838188,0.226537217,4010.202,270.55,Goniatitida,Spirolegoceratidae,#FB8069
5113,Tompoproptychites umbonatus,Induan,0.173629667,0.005643051,0.0260148,120,0.5,0.516666667,0.183333333,216000,251.685,Ceratitida,Proptychitidae,#A4469F
5114,Vavilovites subtriangularis,Induan,0.119716382,0.095341476,0.031271384,141,0.397163121,0.531914894,0.170212766,278334,251.685,Ceratitida,Proptychitidae,#A4469F
5115,Tompoproptychites umbonatus,Induan,0.129674954,-0.001423401,0.039186863,63,0.476190476,0.507936508,0.222222222,29767.5,251.685,Ceratitida,Proptychitidae,#A4469F
5122,Cyclolobus teicherti,Changhsingian,0.096178236,0.070514929,0.015031589,125,0.4,0.5,0.1904,195312.5,253.17,Goniatitida,Cyclolobidae,#FCC0B2
5123,Artinskia whortani,Asselian,0.130996245,0.368831497,0.012365084,55,0.2,0.618181818,1.82E-05,8318.75,297.2,Prolecanitida,Medlicottiidae,#E36350
5125,Aksuites permicus,Kungurian,0.3258265,0.166182442,0.032014937,15.8,0.481012658,0.639240506,6.33E-05,474.316,275.8,Goniatitida,Marathonitidae,#E38776
5126,Aksuites permicus,Kungurian,0.299485813,0.14566942,-0.020942463,16.3,0.478527607,0.576687117,6.13E-05,518.0955,275.8,Goniatitida,Marathonitidae,#E38776
5127,Almites pavlovi,Kungurian,0.35711738,0.079806912,-0.021425444,31.8,0.566037736,0.575471698,3.14E-05,4550.58,275.8,Goniatitida,Marathonitidae,#E38776
5128,Stehnocephalites crassicostatus,Bathonian,0.012662836,-0.111575939,-0.069776851,83.3,0.480192077,0.330132053,0.300120048,69388.9,167.2,Ammonitida,Sphaeroceratidae,#B3E2E3
5129,Stehnocephalites crassicostatus,Bathonian,0.069120381,-0.048654517,0.016695037,60.7,0.471169687,0.448105437,0.275123558,26344.1035,167.2,Ammonitida,Sphaeroceratidae,#B3E2E3
5130,Stehnocephalites crassicostatus,Bathonian,0.036645551,-0.021759289,-0.002762989,106.9,0.429373246,0.428437792,0.270346118,131131.8248,167.2,Ammonitida,Sphaeroceratidae,#B3E2E3
5131,Choffatia suborion,Bathonian,-0.324759553,-0.125576926,0.009598903,130.1,0.267179093,0.259108378,0.564565719,147087.0269,167.2,Ammonitida,Perisphinctidae,#B3E2E3
5132,Choffatia subbakeriae,Bathonian,-0.234554476,-0.103093132,-0.029256656,145.55,0.309996565,0.269872896,0.473995191,238964.5722,167.2,Ammonitida,Perisphinctidae,#B3E2E3
5133,Choffatia subbakeriae,Bathonian,-0.275500523,-0.082274872,-0.022704479,136.22,0.26728821,0.266700925,0.491851417,168904.9742,167.2,Ammonitida,Perisphinctidae,#B3E2E3
5134,Choffatia suborion,Bathonian,-0.25037974,-0.119581792,0.003733015,87.17,0.312033957,0.285648732,0.510840886,51670.54052,167.2,Ammonitida,Perisphinctidae,#B3E2E3
5135,Eurycephalites involutus,Callovian,0.268466789,0.085221878,0.112784954,62.5,0.504,0.656,0.1248,30761.71875,164.8,Ammonitida,Sphaeroceratidae,#BFE7E5
5136,Xenocephalites neuquensis,Bathonian,0.300339188,-0.003165138,0.058361225,44,0.590909091,0.590909091,0.125,12584,167.2,Ammonitida,Sphaeroceratidae,#B3E2E3
5137,Xenocephalites neuquensis,Bathonian,0.168824168,0.12404094,0.154563363,44,0.409090909,0.665909091,0.188636364,8712,167.2,Ammonitida,Sphaeroceratidae,#B3E2E3
5138,Lilloettia steinmanni,Bathonian,0.36739957,-0.135712054,-0.045607078,60.5,0.733884298,0.481983471,0.101157025,40628.775,167.2,Ammonitida,Sphaeroceratidae,#B3E2E3
5139,Lilloettia steinmanni,Bathonian,0.258014609,0.046805901,-0.005344551,53.33,0.525032815,0.538158635,0.090005625,19908.6223,167.2,Ammonitida,Sphaeroceratidae,#B3E2E3
5140,Eurycephalites extremus,Callovian,0.427962862,-0.222430081,-0.0845999,99.87,0.838690297,0.441874437,0.090417543,208855.9139,164.8,Ammonitida,Sphaeroceratidae,#BFE7E5
5141,Choicensisphinctes platyconus,Tithonian,-0.014710348,-0.040824408,-0.0283553,64,0.409375,0.3796875,0.3,26828.8,148.55,Ammonitida,Perisphinctidae,#D9F1F7
5142,Iniskinites evolutus,Bathonian,0.115647207,-0.043349187,-0.01695077,94,0.49787234,0.439893617,0.224680851,103381.2,167.2,Ammonitida,Sphaeroceratidae,#B3E2E3
5143,Eurycephalites gottschei,Bathonian,0.235641308,0.057707125,-0.02024743,77.62,0.501932492,0.520613244,0.090182943,58682.17926,167.2,Ammonitida,Sphaeroceratidae,#B3E2E3
5144,Eurycephalites gottschei,Bathonian,0.217382822,0.083343975,-0.043889413,93.52,0.470487596,0.502566296,0.074850299,96205.8944,167.2,Ammonitida,Sphaeroceratidae,#B3E2E3
5145,Choffatia suborion,Bathonian,-0.237528459,-0.079205709,-0.021652301,108.75,0.290206897,0.283678161,0.466574713,93311.57813,167.2,Ammonitida,Perisphinctidae,#B3E2E3
5146,Eurycephalites gottschei,Bathonian,0.276962909,-0.054716193,0.01048737,8.8,0.613636364,0.522727273,0.143181818,104.544,167.2,Ammonitida,Sphaeroceratidae,#B3E2E3
5147,Oxycerites (Alcidellus) tenuistriatus,Bathonian,0.046161256,0.180086139,-0.000568339,83.3,0.284753902,0.506242497,0.152581032,41147.6177,167.2,Ammonitida,Oppeliidae,#B3E2E3
5148,Eurycephalites extremus,Callovian,0.427219638,-0.228044245,-0.024791092,36.7,0.842779292,0.490190736,0.125885559,10414.82693,164.8,Ammonitida,Sphaeroceratidae,#BFE7E5
5149,Stehnocephalites crassicostatus,Bathonian,0.081989879,-0.053233726,-0.00863832,78.12,0.48297491,0.430107527,0.256016385,57564.04223,167.2,Ammonitida,Sphaeroceratidae,#B3E2E3
5150,Stehnocephalites crassicostatus,Bathonian,0.091816393,-0.039280796,-0.002376624,66.04,0.479103574,0.444276196,0.245305875,34497.73746,167.2,Ammonitida,Sphaeroceratidae,#B3E2E3
5151,Stehnocephalites crassicostatus,Bathonian,0.137442168,-0.060200526,-0.008053422,40,0.525,0.45,0.225,8400,167.2,Ammonitida,Sphaeroceratidae,#B3E2E3
5152,Lithacosphinctes janus,Oxfordian,-0.221719964,-0.051830596,-0.020091065,110.62,0.280238655,0.301030555,0.442053878,94835.0791,160.4,Ammonitida,Perisphinctidae,#BFE7F1
5153,Torquatisphinctes proximus,Tithonian,-0.217829971,-0.079374628,-0.010307327,40.2,0.303482587,0.300995025,0.460199005,4928.922,148.55,Ammonitida,Perisphinctidae,#D9F1F7
5154,Pseudolissoceras zitteli,Tithonian,0.014577578,0.050255565,-0.009404256,29.1,0.360824742,0.439862543,0.240549828,2222.87625,148.55,Ammonitida,Haploceratidae,#D9F1F7
5155,Pseudolissoceras zitteli,Tithonian,0.013186273,0.05198243,-0.007692917,14.5,0.35862069,0.44137931,0.24137931,273.325,148.55,Ammonitida,Haploceratidae,#D9F1F7
5156,Subvinalesphinctes pseudokranaus,Oxfordian,-0.328269339,-0.15188139,-0.019017346,83,0.284337349,0.224096386,0.56626506,40645.1,160.4,Ammonitida,Perisphinctidae,#BFE7F1
5157,Lithacoceras picunleufuense,Tithonian,-0.28370101,-0.026438292,-0.014618152,144,0.220138889,0.290277778,0.470138889,164332.8,148.55,Ammonitida,Perisphinctidae,#D9F1F7
5158,Eutomoceras rarum,Anisian,-0.118544278,0.042521524,0.042612928,14,0.278571429,0.428571429,0.357142857,191.1,244.6,Ceratitida,Ceratitidae,#BC75B7
5159,Paralegoceras iowense,Bashkirian,0.068138072,0.002206239,0.009075206,55.5,0.432432432,0.459459459,0.243243243,18481.5,319.2,Goniatitida,Schistoceratidae,#99C2B6
5160,Girtyoceras welleri,Visean,-0.208240328,-0.47798223,0.106259516,2.3,0.608695652,0.260869565,0.739130435,1.8515,338.8,Goniatitida,Girtyoceratidae,#A6B96C
5161,Girtyoceras welleri,Visean,-0.074962681,-0.50010427,0.195333013,4.2,0.714285714,0.380952381,0.714285714,13.23,338.8,Goniatitida,Girtyoceratidae,#A6B96C
5162,Hildoceras bifrons,Toarcian,-0.209245839,0.031579771,-0.00947214,64.1,0.226209048,0.344773791,0.393135725,14894.43625,178.4,Ammonitida,Hildoceratidae,#99CEE3
5163,Grammoceras thouarsense,Toarcian,-0.301293654,0.01962725,-0.058451262,118,0.173728814,0.262711864,0.43220339,71360.5,178.4,Ammonitida,Hildoceratidae,#99CEE3
5164,Pleydellia (Pleydellia) aalensis,Toarcian,-0.157763382,0.102636007,0.012483225,35.2,0.207386364,0.409090909,0.332386364,2261.248,178.4,Ammonitida,Hildoceratidae,#99CEE3
5165,Collina gemma,Toarcian,-0.319221435,-0.114637666,0.02059095,25.5,0.262745098,0.274509804,0.560784314,1089.16875,178.4,Ammonitida,Dactylioceratidae,#99CEE3
5166,Zugodactylites braunianus,Toarcian,-0.441321633,-0.058064431,-0.001501932,79,0.139240506,0.227848101,0.594936709,17162.75,178.4,Ammonitida,Dactylioceratidae,#99CEE3
5167,Denckmannia fabalis,Toarcian,-0.185645039,-0.03413757,0.004277254,45,0.291111111,0.342222222,0.422222222,6631.875,178.4,Ammonitida,Phymatoceratidae,#99CEE3
5170,Eleganticeras elegantulum,Toarcian,-0.055503226,0.162535599,0.026299863,37.3,0.230563003,0.482573727,0.241286863,2991.2735,178.4,Ammonitida,Hildoceratidae,#99CEE3
5173,Pseudolioceras beyrichi,Toarcian,-0.204316335,0.014331322,0.178930165,78,0.243589744,0.5,0.5,28899,178.4,Ammonitida,Hildoceratidae,#99CEE3
5175,Pseudolioceras alienum,Toarcian,-0.058484236,0.096900534,0.043196411,18,0.277777778,0.472222222,0.288888889,405,178.4,Ammonitida,Hildoceratidae,#99CEE3
5176,Pseudolioceras beyrichi,Toarcian,0.013914612,0.216194919,0.002578113,55,0.236363636,0.509090909,0.154545455,9831.25,178.4,Ammonitida,Hildoceratidae,#99CEE3
5178,Pseudolioceras alienum,Toarcian,-0.052526015,0.112486667,0.031204986,20,0.27,0.47,0.27,540,178.4,Ammonitida,Hildoceratidae,#99CEE3
5180,Sphenodiscus lobatus,Maastrichtian,0.081231236,0.341507916,-0.012654833,119.1,0.187237615,0.56759026,0.033585223,79080.31575,69.05,Ammonitida,Sphenodiscidae,#F2FA8C
5181,Sphenodiscus lobatus,Maastrichtian,0.078785514,0.330631842,-0.03170358,125.5,0.193625498,0.546613546,0.031075697,95682.76875,69.05,Ammonitida,Sphenodiscidae,#F2FA8C
5182,Sphenodiscus lobatus,Maastrichtian,0.087026934,0.324631436,-0.03030752,100.2,0.203592814,0.548902196,0.02994012,51204.204,69.05,Ammonitida,Sphenodiscidae,#F2FA8C
5183,Sphenodiscus lobatus,Maastrichtian,0.098577166,0.339137611,0.02585051,51.8,0.200772201,0.606177606,0.044401544,6976.424,69.05,Ammonitida,Sphenodiscidae,#F2FA8C
5184,Sphenodiscus lobatus,Maastrichtian,0.079115758,0.2823784,-0.020968178,140,0.23,0.538571429,0.063571429,157780,69.05,Ammonitida,Sphenodiscidae,#F2FA8C
5185,Sphenodiscus lobatus,Maastrichtian,0.053261811,0.318447898,-0.022114628,121.6,0.185855263,0.540296053,0.059210526,83544.064,69.05,Ammonitida,Sphenodiscidae,#F2FA8C
5186,Menabites (Bererella) walnutensis,Campanian,-0.080930654,0.023551984,0.012766167,105.5,0.317535545,0.411374408,0.327962085,93215.84375,77.85,Ammonitida,Collignoniceratidae,#E6F47F
5187,Menabites (Bererella) walnutensis,Campanian,-0.054617944,0.013053176,0.013193007,98,0.342857143,0.418367347,0.317346939,80673.6,77.85,Ammonitida,Collignoniceratidae,#E6F47F
5188,Menabites (Bererella) walnutensis,Campanian,0.016701256,0.148580264,0.043389663,73,0.289041096,0.520547945,0.212328767,28110.475,77.85,Ammonitida,Collignoniceratidae,#E6F47F
5189,Menabites (Bererella) walnutensis,Campanian,-0.104890249,0.046427066,-0.0136338,147,0.284353741,0.387755102,0.316326531,225814.05,77.85,Ammonitida,Collignoniceratidae,#E6F47F
5190,Menabites (Bererella) walnutensis,Campanian,-0.132214124,0.004029024,0.029673699,38.9,0.298200514,0.398457584,0.380462725,4388.309,77.85,Ammonitida,Collignoniceratidae,#E6F47F
5191,Duashnoceras floresi,Bajocian,-0.125443546,-0.107599096,-0.003259872,57,0.385964912,0.333333333,0.421052632,17869.5,169.3,Ammonitida,Stephanoceratidae,#A6DDE0
5192,Isculites meeki,Anisian,0.077938743,-0.02818161,-0.010494553,39,0.461538462,0.435897436,0.243589744,6844.5,244.6,Ceratitida,Isculitidae,#BC75B7
5476,Dombarites granofalcatus,Visean,0.388531584,-0.497506106,-0.027758652,4.84,1.018595041,0.376033058,0.299586777,28.872052,338.8,Goniatitida,Delepinoceratidae,#A6B96C
5477,Dombarites granofalcatus,Visean,0.190644781,-0.157172557,-0.036936851,53.9,0.632653061,0.41187384,0.230055659,24766.91525,338.8,Goniatitida,Delepinoceratidae,#A6B96C
5478,Albanites triadicus,Olenekian,-0.036778994,0.059203811,-0.005372908,60.3,0.320066335,0.426202322,0.270315091,17544.13425,249.2,Ceratitida,Meekoceratidae,#B051A5
5479,Isculitoides originis,Olenekian,0.293946191,0.121726475,-0.043556812,20.3,0.492610837,0.54679803,0.004926108,1030.225,249.2,Ceratitida,Paragoceratidae,#B051A5
5480,Chiotites globularis,Olenekian,0.322493857,-0.418169436,-0.017144089,14.2,0.915492958,0.387323944,0.302816901,655.33,249.2,Ceratitida,Melagathiceratidae,#B051A5
5481,Chiotites globularis,Olenekian,0.455244746,-0.004651421,0.016106459,20.3,0.694581281,0.615763547,0.004926108,1452.61725,249.2,Ceratitida,Melagathiceratidae,#B051A5
5482,Isculitoides originis,Olenekian,0.316696362,-0.059532131,-0.036626845,15.7,0.643312102,0.496815287,0.095541401,622.38725,249.2,Ceratitida,Paragoceratidae,#B051A5
5483,Chiotites globularis,Olenekian,0.389371926,-0.121790437,0.017113595,19.5,0.738461538,0.548717949,0.112820513,1368.9,249.2,Ceratitida,Melagathiceratidae,#B051A5
5484,Chiotites globularis,Olenekian,0.43448681,0.011262709,-0.001068106,15.7,0.668789809,0.598726115,6.37E-05,647.03625,249.2,Ceratitida,Melagathiceratidae,#B051A5
5485,Leiophyllites variabilis,Olenekian,-0.090166602,-0.188564819,0.139901888,22.3,0.470852018,0.439461883,0.520179372,1305.38625,249.2,Phylloceratida,Palaeophyllitidae,#B051A5
5486,Isculitoides originis,Olenekian,0.366937979,0.01105994,0.026564675,17.3,0.624277457,0.595375723,0.057803468,808.083,249.2,Ceratitida,Paragoceratidae,#B051A5
5487,Chiotites globularis,Olenekian,0.67194296,-0.425188483,0.267477112,11,0.763636364,1.154545455,0.236363636,384.175,249.2,Ceratitida,Melagathiceratidae,#B051A5
5488,Palaeophyllites steinmanni,Olenekian,-0.106746221,0.059880581,0.022435198,16.1,0.273291925,0.422360248,0.329192547,285.131,249.2,Phylloceratida,Ussuritidae,#B051A5
5489,Leiophyllites variabilis,Olenekian,-0.282748569,-0.060317504,-0.007435647,13,0.246153846,0.284615385,0.492307692,135.2,249.2,Phylloceratida,Palaeophyllitidae,#B051A5
5490,Procarnites kokeni,Olenekian,0.069307462,0.160034539,0.01542021,18.4,0.315217391,0.52173913,0.157608696,490.912,249.2,Ceratitida,Procarnitidae,#B051A5
5491,Procarnites kokeni,Olenekian,0.049921833,0.23350184,-0.069350658,23.9,0.246861925,0.468619247,0.083682008,842.53475,249.2,Ceratitida,Procarnitidae,#B051A5
5492,Leiophyllites variabilis,Olenekian,-0.218029582,-0.04849385,-0.002956817,13.2,0.28030303,0.318181818,0.446969697,161.172,249.2,Phylloceratida,Palaeophyllitidae,#B051A5
5493,Leiophyllites variabilis,Olenekian,-0.064899546,-0.045645972,0.172498234,23.1,0.380952381,0.528138528,0.441558442,1173.942,249.2,Phylloceratida,Palaeophyllitidae,#B051A5
5494,Leiophyllites variabilis,Olenekian,-0.304510223,-0.001213809,-0.008515575,80,0.1875,0.29625,0.4725,24000,249.2,Phylloceratida,Palaeophyllitidae,#B051A5
5495,Procarnites kokeni,Olenekian,0.075563073,0.126388506,0.031074917,17.7,0.344632768,0.525423729,0.18079096,477.76725,249.2,Ceratitida,Procarnitidae,#B051A5
